Original Text,Translated to English,Topic
Maggiore pubblicità attraverso i social del sito e maggiore interazione tramite questo canali,Greater advertising through the social networks of the site and greater interaction through this channels,opinion
"Plus de traduction, notamment des documents de background, au moins en français!","More translation, including background documents, at least in French!",document
Beaucoup de documents n'existent qu'en anglais. Je voudrais qu'ils soient également disponibles en français qui reste l'une des langues principales utilisée dans les Institutions de l'UE.,Many documents only exist in English. I would like them to also be available in French which remains one of the main languages ​​used in EU institutions.,translation
The website can have better sub headings,The website can have better sub headings,website
Give more time before the survey pops up. I didn't have time to look. Thank you,Give more time before the survey pops up. I didn't have time to look. Thank you,website
"Es würde mich freuen, wenn die EU einen einheitlichen stilistischen Auftritt hätte. Ein gemeinsames Corporate Design und eine Corporate Font. Aktuell sind leider einige EU-Seiten unterschiedlich von der Gestaltung her. Ebenso könnte die Seite moderner und frischer gestaltet werden, ähnlich der Webseite von Apple, mit angenehmen Elementen und schönen, smoothen Animationen. Danke :-) .","I would be happy if the EU had a uniform stylistic appearance. A common corporate design and a corporate font. Unfortunately, some EU pages are currently different from the design. The page could also be designed more modern and fresher, similar to the Apple website, with pleasant elements and beautiful, smooth animations. Thanks :-) .",opinion
please dont pop up suggested links if this can lead to the round trip for readers,please dont pop up suggested links if this can lead to the round trip for readers,document
Ne. Hvala,Not. Thank you,nothing
Es la primera vez que entro,It is the first time I enter,nothing
"Consider că este destul de Ok, foarte clare și vizibile toate rubricile. Mulțumim!","I think it is quite ok, very clear and visible all the fields. Thank you!",opinion
"Ez a honlap rendesen tudna működni, hogyha hozzáértő cégre bízták volna a honlap megalkotását és kezelését. Gondolom valami amerikai zsidó korrupt cég intézi a dolgokat, mint ahogy mindent, látszik is.","This website could work properly if they were entrusted with a competent company to create and manage the website. I think some American Jewish corrupt company is doing things, as it seems.",website
im just visite,Im just visit,nothing
"Warum keine App ? Z. B. als News- update, für Meinungsbefragung (z. B. wie bei Campact üblich)...","Why no app? For example, as a news update, for opinion survey (e.g. as usual with Campact) ...",website
No suggestions,No suggestions,suggestion
Oui. Il faut faire une page pour les lecteurs pour posé des questions. Pour avoir des réponse,Yes. You have to make a page for readers to ask questions. To have responses,opinion
Über den Stand von Trilogen informieren,Inform about the status of trilogen,document
je třeba větší přehlednost a odkaz na podrobné informace k danému tématu,Greater clarity and link to detailed information on the topic are required,information
no,no,nothing
-,-,nothing
My email address is Steven.s.bala0007@gmail.com but THE issues only with one fake account have been changed my credit cards account login information password APPLE (ID) all make me a new thing to learn steven.s.bala0007@gmail.com Facebook account login needs more security information is not done by me and not available for login my account on time,My email address is Steven.s.bala0007@gmail.com but THE issues only with one fake account have been changed my credit cards account login information password APPLE (ID) all make me a new thing to learn steven.s.bala0007@gmail.com Facebook account login needs more security information is not done by me and not available for login my account on time,email
ei,no,nothing
A search button to look for specific topics,A search button to look for specific topics,search engine
Ajouter plus d'informations sur les comités (ex : COEST / CONUN / COWEB...) et mettre les Ordres du Jour au moins 2 jours avant.,Add more information on the committees (eg Coest / Conun / Coweb ...) and put the orders of the day at least 2 days before.,information
Not now.,Not now.,nothing
le site est souvent disponible seulement en EN et FR. Les autres langues méritent de l'attention aussi.,The site is often available only in and fr. The other languages ​​deserve attention too.,translation
Nein,No,nothing
Maggiore onestà intellettuale,Greater intellectual honesty,information
no,no,nothing
"stop hiding menus. i know that everybody now loves clean design, but having to figure out what functions are under what heading is a waste of everyone's time. it was perfectly functional before.","stop hiding menus. i know that everybody now loves clean design, but having to figure out what functions are under what heading is a waste of everyone's time. it was perfectly functional before.",search engine
No,No,nothing
Hi hello,Hi hello,opinion
"ačiū, neturiu pastabų","Thank you, I have no comments",comment
Not yet,Not yet,nothing
