Original Text,Translated in English,Topic
would not trust it,would not trust it,nothing
potrei inviare più velocemente estratti a diverse tipologie di colleghi,I could send faster extracts to different types of colleagues,understanding
I would maybe feel the need to check translations in other languages I know to be sure of the meaning of more complex phrases.,I would maybe feel the need to check translations in other languages I know to be sure of the meaning of more complex phrases.,language
sometimes is difficult to understand,sometimes is difficult to understand,machine translation
influienta este mica.,The influence is small.,information
Suhtautuisin käännöksiin suuremmalla varauksella.,I would take a greater approach to translations.,human translation
"I BELIEVE THAT DUE TO THE GROWING USE OF TRANSLATORS, SPELLING, PRAYERS AND PHRASES HAVE BECOME CLOSER TO THE REALITY OF DIFFERENT LANGUAGES.","I BELIEVE THAT DUE TO THE GROWING USE OF TRANSLATORS, SPELLING, PRAYERS AND PHRASES HAVE BECOME CLOSER TO THE REALITY OF DIFFERENT LANGUAGES.",language
Levar-me-ia a gastar mais tempo pela necessidade de verificar o texto com mais atenção.,I would lead me to spend more time for the need to check the text more carefully.,language
Be more doubtful of it,Be more doubtful of it,information
"Creo que las traducciones automáticas son peores. Hasta ahora (dado que la IA ha mejora mucho esta cuestión), creo que la traducción realizada mediante el factor humano es más precisa y se entiende mucho mejor.","I think automatic translations are worse. Until now (since IA has greatly improved this issue), I believe that the translation made through the human factor is more precise and is understood much better.",human translation
ich würde weniger Vertrauen in die zutreffende Erfassung des Inhaltes des Originaldokumentes durch die Übersetzung haben.,I would have less trust in the correct recording of the content of the original document through the translation.,reliability
j'aurai moins confiance dans les traductions proposées,I will have less confidence in the proposed translations,reliability
Vijeća,Council,information
Minska förståelsen,Reduce understanding,understanding
A lényeget illetően nem befolyásolná.,It would not affect the essence.,content
Could be harder to read and rightly understand some terms that translates diffrently in some cases and languages,Could be harder to read and rightly understand some terms that translates diffrently in some cases and languages,language
I would be afraid that it is not accurate,I would be afraid that it is not accurate,reliability
Facilidad de acceso.,Ease of access.,information
Le contenu serait moins fiable. La traduction automatique perd quelques subtilités de langage,The content would be less reliable. Automatic translation loses some subtleties of language,reliability
Nie korzystałbym z portalu.,I wouldn't use the portal.,reliability
Une surcharge de texte et données,Surcharge of text and data,language
